Date,Retail_Category,Sales_Amount,Profit_Margin,Inventory_Turnover,Cost_of_Goods_Sold,Quarter,Year
2022-01-13,Food,43023,24.08188929940959,9.107402821048211,32662.248766715013,2022Q1,2022
2022-01-13,Clothing,16320,9.237967895530874,3.580220953606652,14812.36363944936,2022Q1,2022
2022-01-13,Electronics,35327,17.085657128927696,2.9355753193052903,29291.149906063714,2022Q1,2022
2022-01-14,Food,29390,14.030532181350111,11.332127697254444,25266.426591901203,2022Q1,2022
2022-01-14,Clothing,44057,15.767863860677197,6.254471423088763,37110.15221890144,2022Q1,2022
2022-01-14,Electronics,31223,5.495046995469338,2.224388796694428,29507.281476604607,2022Q1,2022
2022-01-15,Food,44441,23.483556047891266,10.170681474058593,34004.672856756646,2022Q1,2022
2022-01-15,Clothing,17207,11.057063247308573,6.459604960965374,15304.411127035613,2022Q1,2022
2022-01-15,Electronics,31580,5.646962600671067,2.2657203756423994,29796.68921070808,2022Q1,2022
2022-01-16,Food,28751,18.814221408354225,5.395421952501276,23341.723202884077,2022Q1,2022
2022-01-16,Clothing,23459,14.07952012938251,4.0120138338821025,20156.085372848156,2022Q1,2022
2022-01-16,Electronics,33468,3.917845877338925,1.9166991684741488,32156.77534177221,2022Q1,2022
2022-01-17,Food,36266,14.207276054323264,4.578260085944168,31113.589266139126,2022Q1,2022
2022-01-17,Clothing,4804,11.865214907986694,1.576375033232093,4233.9950758203195,2022Q1,2022
2022-01-17,Electronics,40853,17.39915671907378,1.5819509537189202,33744.92250555679,2022Q1,2022
2022-01-18,Food,25438,17.521957745419243,5.205984696585942,20980.76438872025,2022Q1,2022
2022-01-18,Clothing,29228,9.535277242679845,6.864366743829387,26441.029167509536,2022Q1,2022
2022-01-18,Electronics,2354,6.458343427785783,4.142236955269949,2201.9705957099227,2022Q1,2022
2022-01-19,Food,23056,22.236319006939077,11.863679314050707,17929.194289760126,2022Q1,2022
2022-01-19,Clothing,23419,15.07584430594969,1.6689492927297485,19888.388021989642,2022Q1,2022
2022-01-19,Electronics,14188,13.651461577789753,2.0343542176050877,12251.130631343189,2022Q1,2022
2022-01-20,Food,42045,25.83824276902237,7.589859498710205,31181.310827764544,2022Q1,2022
2022-01-20,Clothing,16587,18.571867124737366,2.0741617549994906,13506.484400019812,2022Q1,2022
2022-01-20,Electronics,22166,4.984296166397668,0.7590230520635792,21061.18091175629,2022Q1,2022
2022-01-21,Food,4311,26.93910904605706,2.6575843748146335,3149.6550090244805,2022Q1,2022
2022-01-21,Clothing,36254,18.761517784375158,3.2222627262920307,29452.19934245263,2022Q1,2022
2022-01-21,Electronics,3234,4.789862864079863,3.2946571785996173,3079.095834975657,2022Q1,2022
2022-01-22,Food,7259,22.943783763187,10.458246006119616,5593.510736630255,2022Q1,2022
2022-01-22,Clothing,3302,10.798127967854395,1.8581464231954166,2945.445814501448,2022Q1,2022
2022-01-22,Electronics,23418,16.037429654095696,1.6059723480891068,19662.354723603872,2022Q1,2022
2022-01-23,Food,32565,34.55420858323589,7.408040967074635,21312.421974869234,2022Q1,2022
2022-01-23,Clothing,3549,21.93631289588471,6.799432237475003,2770.4802553250515,2022Q1,2022
2022-01-23,Electronics,22432,16.406688914613287,3.069095683365745,18751.651542673946,2022Q1,2022
2022-01-24,Food,44516,16.971783814804546,9.153399384741327,36960.84071700161,2022Q1,2022
2022-01-24,Clothing,2654,19.55751296192757,3.5461471373087026,2134.9436059904424,2022Q1,2022
2022-01-24,Electronics,13683,15.614855180280202,4.248976477461695,11546.419365682259,2022Q1,2022
2022-01-25,Food,7039,32.46385471317698,8.261076066766105,4753.869266739473,2022Q1,2022
2022-01-25,Clothing,4057,20.98226852178223,6.847250253180841,3205.749366071295,2022Q1,2022
2022-01-25,Electronics,4461,4.5729288226799785,2.740061778529686,4257.001645220246,2022Q1,2022
2022-01-26,Food,4369,21.210603574656183,11.947345894802796,3442.3087298232713,2022Q1,2022
2022-01-26,Clothing,30143,17.107046762908105,2.57604470748144,24986.422894256608,2022Q1,2022
2022-01-26,Electronics,27376,4.861163347541261,2.0292282598731535,26045.207921977104,2022Q1,2022
2022-01-27,Food,35486,26.44032230750858,7.8989317316869805,26103.387225957507,2022Q1,2022
2022-01-27,Clothing,6055,13.64983930625892,4.890729185478193,5228.502230006023,2022Q1,2022
2022-01-27,Electronics,18929,5.903834294065337,4.394741163534538,17811.463206476372,2022Q1,2022
2022-01-28,Food,4936,22.168553823986375,11.107938483326263,3841.7601832480327,2022Q1,2022
2022-01-28,Clothing,32246,18.511792160208024,4.115295140010114,26276.68750001932,2022Q1,2022
2022-01-28,Electronics,41290,9.880283101101824,1.3614476524123735,37210.43110755506,2022Q1,2022
2022-01-29,Food,42264,22.479834497118805,7.93403989248724,32763.122748137706,2022Q1,2022
2022-01-29,Clothing,41947,8.010881549919832,6.654659789246903,38586.67551625513,2022Q1,2022
2022-01-29,Electronics,44984,6.4729654687481375,4.04562668683841,42072.20121353834,2022Q1,2022
2022-01-30,Food,34135,10.386415413221686,11.31902634458339,30589.597098696777,2022Q1,2022
2022-01-30,Clothing,32716,14.397004436203328,4.519296321190862,28005.876028651717,2022Q1,2022
2022-01-30,Electronics,2199,15.64815128747776,1.7483506790713843,1854.897153188364,2022Q1,2022
2022-01-31,Food,37243,31.27841678792142,5.510759048984638,25593.979235674422,2022Q1,2022
2022-01-31,Clothing,28141,14.465621461791953,6.62969769013253,24070.229464437125,2022Q1,2022
2022-01-31,Electronics,2069,16.880269356973308,0.8746229103132213,1719.7472270042222,2022Q1,2022
2022-02-01,Food,8955,26.77858792060126,5.907144422313557,6556.977451710157,2022Q1,2022
2022-02-01,Clothing,18038,10.019940003121958,3.0707944325838827,16230.60322223686,2022Q1,2022
2022-02-01,Electronics,29251,13.152251855924288,3.339687927549726,25403.834809623586,2022Q1,2022
2022-02-02,Food,41611,23.82049942269769,5.3168463646540856,31699.051985221264,2022Q1,2022
2022-02-02,Clothing,40254,9.355518041105787,4.746779523020947,36488.02976773327,2022Q1,2022
2022-02-02,Electronics,24855,10.181478381775005,2.555913549280078,22324.39354820982,2022Q1,2022
2022-02-03,Food,6280,14.856848837801056,3.1739387114993125,5346.989892986094,2022Q1,2022
2022-02-03,Clothing,42441,18.528475380413717,6.362030982541884,34577.32976379862,2022Q1,2022
2022-02-03,Electronics,14903,11.261838328120941,2.3100490797705393,13224.648233960135,2022Q1,2022
2022-02-04,Food,35121,18.203816686868297,3.97289535891357,28727.637541404983,2022Q1,2022
2022-02-04,Clothing,24177,15.044165429673184,1.3769014496464866,20539.772124067913,2022Q1,2022
2022-02-04,Electronics,44175,2.621355750870771,1.7827355072255688,43017.01609705284,2022Q1,2022
2022-02-05,Food,16838,13.17651281629712,7.461310970520642,14619.33877199189,2022Q1,2022
2022-02-05,Clothing,21008,9.61622956893561,6.798460616266465,18987.822492158008,2022Q1,2022
2022-02-05,Electronics,23106,3.3655594399002884,0.80155871255757,22328.35383581664,2022Q1,2022
2022-02-06,Food,33593,23.515878040252662,8.555584064232963,25693.311089937924,2022Q1,2022
2022-02-06,Clothing,9487,7.256672178130487,6.823313829262122,8798.55951046076,2022Q1,2022
2022-02-06,Electronics,19577,2.6570802682860126,2.155401515634699,19056.823395877647,2022Q1,2022
2022-02-07,Food,15598,20.9742855176409,3.2453356227515266,12326.430944958372,2022Q1,2022
2022-02-07,Clothing,26816,8.13367246363329,1.6690632063797464,24634.874392152098,2022Q1,2022
2022-02-07,Electronics,2650,13.135587297499168,2.1949164832156525,2301.906936616272,2022Q1,2022
2022-02-08,Food,2581,32.88034319066201,6.702346182445492,1732.3583422490135,2022Q1,2022
2022-02-08,Clothing,9305,6.595845931381961,2.2606227832223826,8691.25653608491,2022Q1,2022
2022-02-08,Electronics,4843,10.267140118825067,3.162734181150651,4345.762404045302,2022Q1,2022
2022-02-09,Food,18464,25.293018655858802,6.486200593064004,13793.897035382231,2022Q1,2022
2022-02-09,Clothing,21031,14.622632578399298,2.1201493963264477,17955.714142436846,2022Q1,2022
2022-02-09,Electronics,8753,2.230295818076094,1.0526832979769734,8557.7822070438,2022Q1,2022
2022-02-10,Food,14796,17.785332734782354,11.805350021904331,12164.482168561603,2022Q1,2022
2022-02-10,Clothing,30624,13.060955094484527,1.7674381317758086,26624.213111865058,2022Q1,2022
2022-02-10,Electronics,36747,14.91060763281247,1.9505868522486631,31267.799013170403,2022Q1,2022
2022-02-11,Food,38720,19.962618359934336,8.350575931496056,30990.474171033424,2022Q1,2022
2022-02-11,Clothing,34080,20.07356658406681,2.713183015381941,27238.928508150035,2022Q1,2022
2022-02-11,Electronics,24789,16.934980929271724,2.554055547269511,20590.987577442833,2022Q1,2022
2022-02-12,Food,43475,26.467340790473624,4.047877057273582,31968.323591341592,2022Q1,2022
2022-02-12,Clothing,40146,21.052277151127846,6.229753814619022,31694.352814908212,2022Q1,2022
2022-02-12,Electronics,24187,17.043683862799323,2.844349293715928,20064.644184104727,2022Q1,2022
2022-02-13,Food,8333,24.33417604179833,3.7207533557221466,6305.233110436945,2022Q1,2022
2022-02-13,Clothing,6552,14.275485418370891,6.660495890903846,5616.670195388339,2022Q1,2022
2022-02-13,Electronics,42270,15.126829500340289,3.1407906102453733,35875.88917020616,2022Q1,2022
2022-02-14,Food,18950,14.894778369732412,3.158932358314072,16127.439498935708,2022Q1,2022
2022-02-14,Clothing,39994,11.413404414875588,1.425986167399355,35429.32303831466,2022Q1,2022
2022-02-14,Electronics,36350,7.384867438219624,3.1573182779848943,33665.600686207166,2022Q1,2022
2022-02-15,Food,24632,31.121882774236365,2.721083389490346,16966.0578350501,2022Q1,2022
2022-02-15,Clothing,1917,9.431806980010354,4.0770172349017555,1736.1922601932017,2022Q1,2022
2022-02-15,Electronics,18709,13.14779464582641,3.0528771024415478,16249.179099712337,2022Q1,2022
2022-02-16,Food,1912,10.979658166891157,6.470487301297998,1702.068935849041,2022Q1,2022
2022-02-16,Clothing,25048,9.79458773371221,2.2291493539223923,22594.651664459765,2022Q1,2022
2022-02-16,Electronics,20388,11.096324539999333,2.84610584350653,18125.681352784937,2022Q1,2022
2022-02-17,Food,19006,20.31544192278566,6.03417181503144,15144.847108155358,2022Q1,2022
2022-02-17,Clothing,36411,10.793660184301304,6.598392488500675,32480.920390294054,2022Q1,2022
2022-02-17,Electronics,37708,12.877516478403933,3.4856441657447608,32852.146086323446,2022Q1,2022
2022-02-18,Food,4414,12.578096720898316,11.074252613455883,3858.8028107395485,2022Q1,2022
2022-02-18,Clothing,15897,13.441540241612321,3.45978490007138,13760.198347790889,2022Q1,2022
2022-02-18,Electronics,2198,3.599758194589814,0.8085926573147387,2118.877314882916,2022Q1,2022
2022-02-19,Food,8900,31.178578602389738,5.871599309395846,6125.106504387313,2022Q1,2022
2022-02-19,Clothing,18601,16.505088375213155,3.998621507927326,15530.8885113266,2022Q1,2022
2022-02-19,Electronics,6986,3.3325505791241543,0.9576461743080762,6753.188016542387,2022Q1,2022
2022-02-20,Food,38759,18.216613634247896,8.888925332731866,31698.422721501858,2022Q1,2022
2022-02-20,Clothing,41919,21.085307228988732,5.731517092732974,33080.250062680214,2022Q1,2022
2022-02-20,Electronics,2562,3.459297648779046,2.5282391883400677,2473.3727942382807,2022Q1,2022
2022-02-21,Food,12674,34.89828105075823,3.0307759694348255,8250.991859626902,2022Q1,2022
2022-02-21,Clothing,25214,20.090971106891093,3.2353070728020565,20148.262545108482,2022Q1,2022
2022-02-21,Electronics,8301,17.498431103586157,3.2833170396826525,6848.455234091313,2022Q1,2022
2022-02-22,Food,18837,25.455451582906523,3.4606654231665073,14041.956585327898,2022Q1,2022
2022-02-22,Clothing,3042,12.243555075798,2.490943221911977,2669.5510545942248,2022Q1,2022
2022-02-22,Electronics,29069,16.270350540428424,1.1717588045988994,24339.37180140286,2022Q1,2022
2022-02-23,Food,24056,12.120942852129799,11.873075995761166,21140.185987491655,2022Q1,2022
2022-02-23,Clothing,15307,19.673354873813064,6.306087818102817,12295.599569465434,2022Q1,2022
2022-02-23,Electronics,27756,17.15597723814174,4.445404148909196,22994.186957781378,2022Q1,2022
2022-02-24,Food,27231,18.755456167507838,9.227721358040398,22123.70173102594,2022Q1,2022
2022-02-24,Clothing,36078,18.211497570766422,4.438744648467669,29507.65590641889,2022Q1,2022
2022-02-24,Electronics,26789,16.501670161515776,1.0336701809939903,22368.36758043154,2022Q1,2022
2022-02-25,Food,22152,10.283841119185478,6.9522760989442,19873.923515278035,2022Q1,2022
2022-02-25,Clothing,31855,7.019904576557224,1.8816522313072084,29618.809397137695,2022Q1,2022
2022-02-25,Electronics,43844,13.907386511092767,3.256053765677945,37746.44545807649,2022Q1,2022
2022-02-26,Food,16183,34.05431371186355,6.061270505475189,10671.990412009121,2022Q1,2022
2022-02-26,Clothing,29516,6.409152468787021,4.264546703523813,27624.274557312823,2022Q1,2022
2022-02-26,Electronics,3605,2.1944715950370615,4.382527424159792,3525.889298998914,2022Q1,2022
2022-02-27,Food,36120,18.067159706939588,2.9123074413326413,29594.14191385342,2022Q1,2022
2022-02-27,Clothing,29360,21.880401534028103,1.6280200754653134,22935.914109609348,2022Q1,2022
2022-02-27,Electronics,27326,13.12657796970636,0.8941947336501002,23739.031303998043,2022Q1,2022
2022-02-28,Food,7690,25.73496595338156,9.109612545353862,5710.981118184958,2022Q1,2022
2022-02-28,Clothing,43856,16.84772594968485,3.428370621999475,36467.26130750622,2022Q1,2022
2022-02-28,Electronics,42930,2.727142085463326,1.6957564394096982,41759.23790271059,2022Q1,2022
2022-03-01,Food,12475,11.446597443942686,6.247957086777234,11047.03696886815,2022Q1,2022
2022-03-01,Clothing,25459,15.542254162626124,2.8088108612905693,21502.097512737015,2022Q1,2022
2022-03-01,Electronics,37987,7.653635648416845,2.876258836218401,35079.61342623589,2022Q1,2022
2022-03-02,Food,28855,19.008627380131703,4.969523697115496,23370.060569462996,2022Q1,2022
2022-03-02,Clothing,40310,16.868749138335666,4.309358924795898,33510.20722233689,2022Q1,2022
2022-03-02,Electronics,14716,8.57930753395498,2.950849339890864,13453.469103303185,2022Q1,2022
2022-03-03,Food,32971,14.065423483622283,11.153808252691503,28333.489223214896,2022Q1,2022
2022-03-03,Clothing,7213,12.082863981554146,4.570743202848792,6341.4630210105,2022Q1,2022
2022-03-03,Electronics,11636,8.691888580649902,4.237641085080652,10624.611844755578,2022Q1,2022
2022-03-04,Food,25293,23.78969681360175,4.065925480801509,19275.87198493571,2022Q1,2022
2022-03-04,Clothing,2515,11.399877236926843,5.90120931853463,2228.29308749129,2022Q1,2022
2022-03-04,Electronics,9915,17.76457681064807,2.069281982757969,8153.642209224244,2022Q1,2022
2022-03-05,Food,25333,19.52227141577554,11.71418677923873,20387.422982241584,2022Q1,2022
2022-03-05,Clothing,8438,14.674384975817711,1.5683686116220077,7199.775395740501,2022Q1,2022
2022-03-05,Electronics,11844,8.637112037402643,1.6662875805297541,10821.02045029003,2022Q1,2022
2022-03-06,Food,42443,11.883976508811559,9.071286773104664,37399.08385036511,2022Q1,2022
2022-03-06,Clothing,34106,17.74848274098952,6.496361363094328,28052.702476358114,2022Q1,2022
2022-03-06,Electronics,25074,14.303798642888168,4.284586346541469,21487.46552828222,2022Q1,2022
2022-03-07,Food,33701,19.446263731894657,4.790305907131502,27147.41465971418,2022Q1,2022
2022-03-07,Clothing,40265,9.274521471700574,2.793444422750271,36530.613929419764,2022Q1,2022
2022-03-07,Electronics,23449,16.051530679667074,3.552296615471692,19685.07657092487,2022Q1,2022
2022-03-08,Food,28157,18.954067950821013,3.5787971258964757,22820.103087087326,2022Q1,2022
2022-03-08,Clothing,15989,13.468808172980179,3.962022041376282,13835.4722612222,2022Q1,2022
2022-03-08,Electronics,30038,6.924435836336791,3.783904367330943,27958.037963481154,2022Q1,2022
2022-03-09,Food,9927,24.023449288384654,10.828209225254279,7542.192189142055,2022Q1,2022
2022-03-09,Clothing,44308,15.029250251339812,3.9842666087071557,37648.839798636356,2022Q1,2022
2022-03-09,Electronics,16754,14.082196090777904,3.0192072502785123,14394.668866951071,2022Q1,2022
2022-03-10,Food,38941,30.126116687984045,11.07993505742795,27209.588900532137,2022Q1,2022
2022-03-10,Clothing,14551,21.667866326570422,4.726909527342934,11398.108770820738,2022Q1,2022
2022-03-10,Electronics,9517,8.275904721595717,2.3061521958925435,8729.382147645736,2022Q1,2022
2022-03-11,Food,11709,18.706386675582507,7.382900147018202,9518.669184156044,2022Q1,2022
2022-03-11,Clothing,33203,20.478011732855638,2.928164818943313,26403.68576433994,2022Q1,2022
2022-03-11,Electronics,44588,17.192329978522274,1.173586575623248,36922.28390917649,2022Q1,2022
2022-03-12,Food,21356,22.302907326988453,4.953321688840104,16592.991111248346,2022Q1,2022
2022-03-12,Clothing,38432,21.66055377985311,4.057184945158643,30107.415971326853,2022Q1,2022
2022-03-12,Electronics,5800,5.346092657256227,2.8606347444397797,5489.926625879139,2022Q1,2022
2022-03-13,Food,7754,13.221993047766231,3.7164354700988382,6728.766659076206,2022Q1,2022
2022-03-13,Clothing,7738,11.805108311474783,5.2464719274422045,6824.520718858081,2022Q1,2022
2022-03-13,Electronics,44179,8.58657942972045,4.009838658932226,40385.5350737438,2022Q1,2022
2022-03-14,Food,34934,26.688943463025677,4.1370387764154835,25610.484490626608,2022Q1,2022
2022-03-14,Clothing,12814,5.694766476530141,2.1798233658185544,12084.272623697427,2022Q1,2022
2022-03-14,Electronics,39045,4.832167748427949,0.9459398816525169,37158.280102626304,2022Q1,2022
2022-03-15,Food,40644,18.899787106799653,10.995063997511295,32962.37052831235,2022Q1,2022
2022-03-15,Clothing,44428,13.558093604532568,5.204290006050319,38404.410173378266,2022Q1,2022
2022-03-15,Electronics,25124,3.4766493796599374,2.4764670368195434,24250.526609854238,2022Q1,2022
2022-03-16,Food,44721,12.043975798721798,10.798996929014384,39334.81358305363,2022Q1,2022
2022-03-16,Clothing,20762,11.413861409115233,1.21505114142515,18392.254094239495,2022Q1,2022
2022-03-16,Electronics,15068,3.3522721228909114,2.9293845207961793,14562.879636522797,2022Q1,2022
2022-03-17,Food,23695,15.233733083417759,6.019484976518129,20085.36694588416,2022Q1,2022
2022-03-17,Clothing,10217,15.510331116015031,3.3396991095046795,8632.309469876744,2022Q1,2022
2022-03-17,Electronics,18248,2.997461800179863,1.1761824584342842,17701.023170703178,2022Q1,2022
2022-03-18,Food,6626,27.179137635083272,10.522186390019474,4825.110340299382,2022Q1,2022
2022-03-18,Clothing,40138,5.518026596471101,6.229846890233395,37923.17448470843,2022Q1,2022
2022-03-18,Electronics,24833,10.52187626328037,1.5456349641754457,22220.102467539586,2022Q1,2022
2022-03-19,Food,9652,28.43513015234548,4.2316968455216015,6907.441237695614,2022Q1,2022
2022-03-19,Clothing,2562,10.47534581491403,2.426398440579959,2293.6216402219025,2022Q1,2022
2022-03-19,Electronics,6132,16.24843649183832,2.9150105688607897,5135.645874320475,2022Q1,2022
2022-03-20,Food,44063,18.87760758198262,8.663816982769973,35744.95977115099,2022Q1,2022
2022-03-20,Clothing,28234,14.93139124014088,5.473570357290495,24018.270997258624,2022Q1,2022
2022-03-20,Electronics,14410,13.92703158694928,2.2834722302957497,12403.11474832061,2022Q1,2022
2022-03-21,Food,8238,19.46931564878223,5.7057449217832215,6634.11777685332,2022Q1,2022
2022-03-21,Clothing,20623,15.980593102637219,4.510514167079688,17327.322284443126,2022Q1,2022
2022-03-21,Electronics,11667,9.971963165583043,1.8883590769955645,10503.571057471427,2022Q1,2022
2022-03-22,Food,29524,15.930669793399863,3.4669334898938358,24820.629050196625,2022Q1,2022
2022-03-22,Clothing,3105,9.181281382536637,2.131951964905423,2819.921213072237,2022Q1,2022
2022-03-22,Electronics,12089,4.773977524716077,4.097385156043058,11511.873857037073,2022Q1,2022
2022-03-23,Food,14546,11.290886946862821,2.67330357356943,12903.627584709335,2022Q1,2022
2022-03-23,Clothing,5824,21.700436487446307,1.8498256325747036,4560.166578971127,2022Q1,2022
2022-03-23,Electronics,42927,17.511526932405904,3.975477790986523,35409.82683372612,2022Q1,2022
2022-03-24,Food,43105,34.37667907362856,7.162113402958452,28286.93248531241,2022Q1,2022
2022-03-24,Clothing,14734,18.954645043606995,5.367052170852011,11941.222599274945,2022Q1,2022
2022-03-24,Electronics,12454,11.145803031518398,1.691918465275108,11065.901690454699,2022Q1,2022
2022-03-25,Food,33543,15.126939003736478,11.695943631790225,28468.970849976675,2022Q1,2022
2022-03-25,Clothing,27886,8.391617764751436,5.470233665451231,25545.913470121413,2022Q1,2022
2022-03-25,Electronics,40551,3.8373891958272566,2.981418165522367,38994.90030720009,2022Q1,2022
2022-03-26,Food,44033,24.530955535565305,3.9664457951049217,33231.28434902453,2022Q1,2022
2022-03-26,Clothing,41256,14.05402035337696,1.500576513570076,35457.8733630108,2022Q1,2022
2022-03-26,Electronics,1509,10.777649887010451,2.7407957215670113,1346.3652632050123,2022Q1,2022
2022-03-27,Food,41309,18.05884612436807,10.193807235619031,33849.07125448479,2022Q1,2022
2022-03-27,Clothing,10012,7.360021148514346,1.215723216603112,9275.114682610743,2022Q1,2022
2022-03-27,Electronics,29034,9.545219016802536,2.2061795651743474,26262.641110661552,2022Q1,2022
2022-03-28,Food,29753,12.667481252835902,10.58191087015632,25984.044302843737,2022Q1,2022
2022-03-28,Clothing,13719,21.405457481330714,1.9209238962161592,10782.38528813624,2022Q1,2022
2022-03-28,Electronics,10067,17.85487162331825,1.3995070592076253,8269.550073680552,2022Q1,2022
2022-03-29,Food,9662,11.662406684169438,9.540646168255561,8535.17826617555,2022Q1,2022
2022-03-29,Clothing,7451,18.285746189774056,6.002057145629453,6088.529051399935,2022Q1,2022
2022-03-29,Electronics,32023,4.618495085851272,1.2406366119308725,30544.019318657847,2022Q1,2022
2022-03-30,Food,20782,26.629930517404997,7.469121535306634,15247.767839872893,2022Q1,2022
2022-03-30,Clothing,22111,10.375341899040407,4.612178719611329,19816.908152703174,2022Q1,2022
2022-03-30,Electronics,44803,9.231177620784628,3.3837515739357715,40667.15549055987,2022Q1,2022
2022-03-31,Food,41211,21.566994641740163,5.363089804559349,32323.02583819246,2022Q1,2022
2022-03-31,Clothing,23026,12.458659481601764,4.549420371255529,20157.269067766378,2022Q1,2022
2022-03-31,Electronics,3692,16.393193172393094,2.0971757633555246,3086.763308075247,2022Q1,2022
2022-04-01,Food,19881,11.665477809770424,4.675741213785566,17561.78635663954,2022Q2,2022
2022-04-01,Clothing,12802,6.987266692042189,6.651026316958156,11907.49011808476,2022Q2,2022
2022-04-01,Electronics,32610,13.688786188948823,3.30549866887302,28146.08682378379,2022Q2,2022
2022-04-02,Food,16874,31.965727884335955,7.206524450837674,11480.10307679715,2022Q2,2022
2022-04-02,Clothing,26553,20.19617391186628,5.7738638251022785,21190.309941182146,2022Q2,2022
2022-04-02,Electronics,12289,14.038449920621163,3.3572237988494904,10563.814889254865,2022Q2,2022
2022-04-03,Food,33654,28.598657314316924,2.818558129989904,24029.407867439782,2022Q2,2022
2022-04-03,Clothing,20529,17.13908939780144,4.065092625359004,17010.516337525343,2022Q2,2022
2022-04-03,Electronics,25210,8.061145048910651,2.3823008551985456,23177.785333169624,2022Q2,2022
2022-04-04,Food,42131,22.55720868656325,7.628676052571949,32627.422408264036,2022Q2,2022
2022-04-04,Clothing,15882,11.952238010453385,5.676915487469821,13983.745559179793,2022Q2,2022
2022-04-04,Electronics,17978,11.575083219283632,2.805482554559598,15897.03153883719,2022Q2,2022
2022-04-05,Food,35061,16.294976472673817,5.784111938287235,29347.818298915834,2022Q2,2022
2022-04-05,Clothing,13798,21.304271507588474,3.1866406916355516,10858.436617382944,2022Q2,2022
2022-04-05,Electronics,14499,8.777549798727726,1.7229255042553318,13226.343054682467,2022Q2,2022
2022-04-06,Food,26438,13.833785077902006,8.069183404159574,22780.623901104267,2022Q2,2022
2022-04-06,Clothing,18868,9.352264041512257,5.411354399161924,17103.414820647467,2022Q2,2022
2022-04-06,Electronics,28806,16.913892519737797,2.804019415997915,23933.784120764332,2022Q2,2022
2022-04-07,Food,40227,26.28418027470615,9.826843350937512,29653.66280089396,2022Q2,2022
2022-04-07,Clothing,22030,17.519552005620287,6.619328685660286,18170.44269316185,2022Q2,2022
